epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2815,1.92168,2.98126,1.97911,0.00667,0.54545,0.19138,0.1134,1.57627,3.60247,1.63049,0.00014,0.00014,0.00014
2,25.8511,1.66269,2.35854,1.80627,0.00778,0.63636,0.28611,0.11876,1.41093,3.32022,1.45852,0.0002901,0.0002901,0.0002901
3,39.4787,1.53358,2.08628,1.67279,0.00778,0.63636,0.30501,0.14958,1.38578,3.29646,1.37639,0.00042964,0.00042964,0.00042964
4,53.8184,1.48731,1.80784,1.59882,1,0.25662,0.31221,0.23211,1.39658,3.19543,1.3838,0.00055862,0.00055862,0.00055862
5,67.0058,1.46095,1.72045,1.53645,1,0.26558,0.33069,0.26485,1.40963,2.98696,1.39078,0.00067704,0.00067704,0.00067704
6,86.2264,1.48051,1.62056,1.48649,0.74008,0.36364,0.33413,0.22989,1.69694,2.88104,1.4341,0.0007849,0.0007849,0.0007849
7,106.552,1.46842,1.55165,1.4997,1,0.36072,0.37497,0.20107,1.98162,2.75722,1.61203,0.0008822,0.0008822,0.0008822
8,127.624,1.45394,1.52496,1.50136,0.98346,0.36364,0.39937,0.19198,2.10022,2.62286,1.66887,0.00096894,0.00096894,0.00096894
9,146.483,1.41361,1.5117,1.4615,0.7585,0.36364,0.3623,0.25995,1.82269,2.5441,1.47763,0.00104512,0.00104512,0.00104512
10,163.398,1.43456,1.43533,1.47091,1,0.35654,0.39739,0.24321,1.78496,2.43608,1.52913,0.00111074,0.00111074,0.00111074
